Sport,Date,Time,Season,ToG,HomeTeam,AwayTeam,FTHG,FTAG,W,OVER/UNDER,AH,TG,Draw,DHS,DAS,1qHS,1qAS,1qR,MH,MA,PH,PA,B365H,B365A
Basket,31/05/2019,01:00,2018/2019,Play Offs,Toronto Raptors,Golden State Warriors,118,109,H,O,9,227,,,,25,21,H,2.04,1.88,2.03,1.88,1.95,1.86
Basket,26/05/2019,00:30,2018/2019,Play Offs,Toronto Raptors,Milwaukee Bucks,100,94,H,U,6,194,,,,18,31,A,1.65,2.12,1.79,2.14,1.71,2.2
Basket,24/05/2019,00:30,2018/2019,Play Offs,Milwaukee Bucks,Toronto Raptors,99,105,A,U,6,204,,,,32,22,H,1.29,3.12,1.34,3.6,1.33,3.4
Basket,22/05/2019,00:30,2018/2019,Play Offs,Toronto Raptors,Milwaukee Bucks,120,102,H,O,18,222,,,,32,31,H,2.02,1.68,2.2,1.75,2.2,1.71
Basket,21/05/2019,01:00,2018/2019,Play Offs,Portland Trail Blazers,Golden State Warriors,117,119,A,O,2,236,OT,111,111,35,36,A,2.19,1.53,2.31,1.69,2.4,1.62
Basket,19/05/2019,23:00,2018/2019,Play Offs,Toronto Raptors,Milwaukee Bucks,118,112,H,O,6,230,OT,96,96,30,21,H,1.65,2.09,1.7,2.29,1.68,2.25
Basket,19/05/2019,01:00,2018/2019,Play Offs,Portland Trail Blazers,Golden State Warriors,99,110,A,U,11,209,,,,29,27,H,1.62,1.98,1.75,2.2,1.74,2.15
Basket,18/05/2019,00:30,2018/2019,Play Offs,Milwaukee Bucks,Toronto Raptors,125,103,H,O,22,228,,,,35,21,H,1.29,3.16,1.36,3.44,1.36,3.25
Basket,17/05/2019,01:00,2018/2019,Play Offs,Golden State Warriors,Portland Trail Blazers,114,111,H,O,3,225,,,,29,31,A,1.3,3.98,1.3,3.95,1.27,3.8
Basket,16/05/2019,00:30,2018/2019,Play Offs,Milwaukee Bucks,Toronto Raptors,108,100,H,U,8,208,,,,23,34,A,1.38,3.06,1.41,3.19,1.38,3.15
Basket,15/05/2019,01:00,2018/2019,Play Offs,Golden State Warriors,Portland Trail Blazers,116,94,H,U,22,210,,,,27,23,H,1.28,3.78,1.29,4,1.28,3.75
Basket,12/05/2019,23:00,2018/2019,Play Offs,Toronto Raptors,Philadelphia 76ers,92,90,H,U,2,182,,,,18,13,H,1.34,2.95,1.38,3.31,1.38,3.15
Basket,12/05/2019,19:30,2018/2019,Play Offs,Denver Nuggets,Portland Trail Blazers,96,100,A,U,4,196,,,,29,17,H,1.36,2.66,1.44,3.01,1.44,2.85
Basket,11/05/2019,01:00,2018/2019,Play Offs,Houston Rockets,Golden State Warriors,113,118,A,O,5,231,,,,28,27,H,1.36,3.54,1.41,3.15,1.45,2.8
Basket,10/05/2019,02:30,2018/2019,Play Offs,Portland Trail Blazers,Denver Nuggets,119,108,H,O,11,227,,,,26,34,A,1.59,2.56,1.58,2.54,1.6,2.45
Basket,10/05/2019,00:00,2018/2019,Play Offs,Philadelphia 76ers,Toronto Raptors,112,101,H,U,11,213,,,,29,21,H,1.95,1.69,2.06,1.85,1.95,1.86
Basket,09/05/2019,02:30,2018/2019,Play Offs,Golden State Warriors,Houston Rockets,104,99,H,U,5,203,,,,31,17,H,1.34,2.76,1.42,3.14,1.4,3.05
Basket,09/05/2019,00:00,2018/2019,Play Offs,Milwaukee Bucks,Boston Celtics,116,91,H,U,25,207,,,,22,19,H,1.22,5,1.23,4.73,1.22,4.5
Basket,08/05/2019,02:30,2018/2019,Play Offs,Denver Nuggets,Portland Trail Blazers,124,98,H,O,26,222,,,,31,25,H,1.43,2.4,1.54,2.66,1.52,2.67
Basket,08/05/2019,00:00,2018/2019,Play Offs,Toronto Raptors,Philadelphia 76ers,125,89,H,U,36,214,,,,27,26,H,1.34,2.78,1.39,3.27,1.38,3.15
Basket,07/05/2019,01:30,2018/2019,Play Offs,Houston Rockets,Golden State Warriors,112,108,H,O,4,220,,,,25,28,A,1.69,2.02,1.8,2.13,1.74,2.15
Basket,06/05/2019,23:00,2018/2019,Play Offs,Boston Celtics,Milwaukee Bucks,101,113,A,U,12,214,,,,30,22,H,1.75,1.89,1.86,2.05,1.83,2
Basket,05/05/2019,23:00,2018/2019,Play Offs,Portland Trail Blazers,Denver Nuggets,112,116,A,O,4,228,,,,33,29,H,1.64,2.45,1.62,2.46,1.52,2.67
Basket,05/05/2019,19:30,2018/2019,Play Offs,Philadelphia 76ers,Toronto Raptors,96,101,A,U,5,197,,,,21,24,A,2.11,1.83,2.1,1.83,1.95,1.86
Basket,05/05/2019,00:30,2018/2019,Play Offs,Houston Rockets,Golden State Warriors,126,121,H,O,5,247,OT,112,112,25,26,A,1.47,2.3,1.58,2.55,1.66,2.3
Basket,04/05/2019,02:30,2018/2019,Play Offs,Portland Trail Blazers,Denver Nuggets,140,137,H,O,3,277,OT,102,102,23,17,H,1.48,2.53,1.56,2.59,1.52,2.67
Basket,04/05/2019,00:00,2018/2019,Play Offs,Boston Celtics,Milwaukee Bucks,116,123,A,O,7,239,,,,30,25,H,1.71,2,1.83,2.09,1.8,2.05
